sample_id,cluster_label,batch,color
Cell_1,4,MCI1_GM,brown
Cell_2,2,MCI1_GM,cyan
Cell_3,2,MCI1_GM,cyan
Cell_4,4,MCI1_GM,brown
Cell_5,6,MCI1_GM,orange
Cell_6,4,MCI1_GM,brown
Cell_7,2,MCI1_GM,cyan
Cell_8,4,MCI1_GM,brown
Cell_9,4,MCI1_GM,brown
Cell_10,1,MCI1_GM,blue
Cell_11,4,MCI1_GM,brown
Cell_12,4,MCI1_GM,brown
Cell_13,4,MCI1_GM,brown
Cell_14,4,MCI1_GM,brown
Cell_15,4,MCI1_GM,brown
Cell_16,4,MCI1_GM,brown
Cell_17,4,MCI1_GM,brown
Cell_18,2,MCI1_GM,cyan
Cell_19,4,MCI1_GM,brown
Cell_20,2,MCI1_GM,cyan
Cell_21,2,MCI1_GM,cyan
Cell_22,4,MCI1_GM,brown
Cell_23,3,MCI1_GM,purple
Cell_24,1,MCI1_GM,blue
Cell_25,4,MCI1_GM,brown
Cell_26,4,MCI1_GM,brown
Cell_27,4,MCI1_GM,brown
Cell_28,4,MCI1_GM,brown
Cell_29,4,MCI1_GM,brown
Cell_30,4,MCI1_GM,brown
Cell_31,4,MCI1_GM,brown
Cell_32,4,MCI1_GM,brown
Cell_33,4,MCI1_GM,brown
Cell_34,4,MCI1_GM,brown
Cell_35,4,MCI1_GM,brown
Cell_36,2,MCI1_GM,cyan
Cell_37,2,MCI1_GM,cyan
Cell_38,1,MCI1_GM,blue
Cell_39,2,MCI1_GM,cyan
Cell_40,2,MCI1_GM,cyan
Cell_41,4,MCI1_GM,brown
Cell_42,2,MCI1_GM,cyan
Cell_43,4,MCI1_GM,brown
Cell_44,4,MCI1_GM,brown
Cell_45,4,MCI1_GM,brown
Cell_46,1,MCI1_GM,blue
Cell_47,4,MCI1_GM,brown
Cell_48,4,MCI1_GM,brown
Cell_49,2,MCI1_GM,cyan
Cell_50,9,MCI1_GM,red
Cell_51,4,MCI1_GM,brown
Cell_52,3,MCI1_GM,purple
Cell_53,4,MCI1_GM,brown
Cell_54,1,MCI1_GM,blue
Cell_55,4,MCI1_GM,brown
Cell_56,4,MCI1_GM,brown
Cell_57,1,MCI1_GM,blue
Cell_58,4,MCI1_GM,brown
Cell_59,4,MCI1_GM,brown
Cell_60,4,MCI1_GM,brown
Cell_61,2,MCI1_GM,cyan
Cell_62,1,MCI1_GM,blue
Cell_63,4,MCI1_GM,brown
Cell_64,1,MCI1_GM,blue
Cell_65,2,MCI1_GM,cyan
Cell_66,2,MCI1_GM,cyan
Cell_67,2,MCI1_GM,cyan
Cell_68,4,MCI1_GM,brown
Cell_69,2,MCI1_GM,cyan
Cell_70,4,MCI1_GM,brown
Cell_71,4,MCI1_GM,brown
Cell_72,2,MCI1_GM,cyan
Cell_73,4,MCI1_GM,brown
Cell_74,2,MCI1_GM,cyan
